8.7140,4.9773,1.8704,1.2118,4.6406,-1.5070,4.6022
8.7340,4.9278,1.7691,1.2176,4.5625,-1.3154,5.1774
8.7540,4.8772,1.6621,1.2241,4.6830,-1.3154,5.3692
8.7740,4.8265,1.5517,1.2296,4.4149,-1.5073,5.3693
8.7940,4.7744,1.4485,1.2357,4.4164,-1.3154,4.7940
8.8140,4.7230,1.3430,1.2422,4.5954,-1.5070,5.7528
8.8340,4.6735,1.2276,1.2483,4.6074,-1.6990,6.3281
8.8540,4.6240,1.1129,1.2548,4.6863,-1.5073,5.3692
8.8740,4.5726,1.0059,1.2609,4.6271,-1.3154,4.9856
8.8940,4.5170,0.9001,1.2671,4.6116,-1.1237,5.3692
8.9140,4.4622,0.7885,1.2735,4.6906,-1.5070,5.9445
8.9340,4.4119,0.6815,1.2797,4.6281,-1.5070,5.1774
8.9540,4.3632,0.5756,1.2858,4.5949,-1.1237,5.1774
8.9739,4.3142,0.4671,1.2919,4.6245,-1.5070,5.7527
8.9940,4.2635,0.3601,1.2987,4.7912,-1.5070,5.1774
9.0140,4.2144,0.2584,1.3042,4.4985,-1.6987,4.9857
9.0340,4.1661,0.1530,1.3110,4.7639,-1.5070,5.5610
9.0540,4.1174,0.0410,1.3178,4.9186,-1.5070,5.5610
9.0740,4.0687,6.2199,1.3243,4.8900,-1.6987,5.1774
9.0940,4.0192,6.1251,1.3301,4.6814,-1.5070,4.4105
9.1140,3.9724,6.0300,1.3359,4.5503,-1.8905,4.7938
9.1340,3.9272,5.9249,1.3414,4.3512,-1.6987,5.1774
9.1540,3.8831,5.8202,1.3472,4.3477,-1.6987,4.9855
9.1740,3.8367,5.7228,1.3530,4.3872,-1.5070,4.4102
9.1940,3.7883,5.6235,1.3592,4.4954,-1.5070,4.9858
9.2140,3.7400,5.5165,1.3653,4.5119,-1.5072,5.1774
9.2340,3.6921,5.4106,1.3698,4.0366,-1.6990,5.5611
9.2540,3.6418,5.3063,1.3766,4.4607,-1.3155,5.7528
9.2740,3.5939,5.1959,1.3834,4.7370,-1.8908,5.7528
9.2940,3.5460,5.0835,1.3895,4.6774,-1.5070,4.9858
9.3140,3.4999,4.9811,1.3953,4.5719,-2.0822,4.7938
9.3340,3.4520,4.8783,1.4015,4.6020,-1.6990,5.7528
9.3520,3.4090,4.7782,1.4076,4.7818,-1.6990,5.5611
9.3720,3.3603,4.6670,1.4138,4.6930,-1.5072,5.5608
9.3920,3.3109,4.5661,1.4199,4.6611,-1.5073,5.1774
9.4120,3.2614,4.4691,1.4267,4.8452,-1.5072,4.7938
9.4320,3.2150,4.3640,1.4325,4.6618,-1.6989,5.3694
9.4520,3.1686,4.2582,1.4383,4.5621,-1.3152,5.1774
9.4720,3.1218,4.1581,1.4445,4.5874,-1.6989,4.7936
9.4920,3.0746,4.0557,1.4500,4.3968,-1.6987,5.3694
9.5120,3.0278,3.9498,1.4564,4.6007,-1.5070,4.7938
9.5320,2.9810,3.8474,1.4626,4.5957,-1.5072,4.6023
9.5520,2.9323,3.7462,1.4687,4.5928,-1.5070,5.1773
9.5720,2.8829,3.6438,1.4752,4.7056,-1.6989,5.3693
9.5920,2.8345,3.5368,1.4820,4.8516,-1.8907,5.3693
9.6120,2.7889,3.4386,1.4881,4.7791,-1.6987,4.6023
9.6320,2.7448,3.3454,1.4946,4.8060,-1.6989,4.4106
9.6520,2.6995,3.2464,1.5010,4.8573,-1.5070,5.1776
9.6720,2.6535,3.1440,1.5078,4.9471,-1.6990,4.9858
9.6920,2.6071,3.0459,1.5139,4.7859,-1.5072,4.4105
9.7120,2.5611,2.9523,1.5198,4.6277,-1.8907,4.4105
