# Time,Theta 1,Theta 2,Tape Position,Tape Speed,Tension Arm 1 Height,Tension Arm 2 Height
2.6250399780e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.2605042756e-01
2.6252401733e+02,4.9255294800e+00,6.5658384562e-01,1.2596724033e+00,6.0075445175e+00,1.6393441707e-02,1.1764705926e-01
2.6254400635e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.1764705926e-01
2.6256402588e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.1764705926e-01
2.6258401489e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.2605042756e-01
2.6260400391e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.1764705926e-01
2.6262402344e+02,4.9255294800e+00,6.5658384562e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.1764705926e-01
2.6264401245e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.2605042756e-01
2.6266400146e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,1.6393441707e-02,1.2605042756e-01
2.6268402100e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,1.6393441707e-02,1.2605042756e-01
2.6270401001e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.2605042756e-01
2.6272399902e+02,4.9255294800e+00,6.5658384562e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.2605042756e-01
2.6274401855e+02,4.9255294800e+00,6.5620034933e-01,1.2596724033e+00,6.0075445175e+00,2.4590164423e-02,1.1764705926e-01
