# Time,Theta 1,Theta 2,Tape Position,Tape Speed,Tension Arm 1 Height,Tension Arm 2 Height
5.7699005127e+02,4.0108380318e+00,4.6237006187e+00,2.2953118896e+02,8.1042890549e+00,4.2622950673e-01,1.2605042756e-01
5.7701000977e+02,3.9441056252e+00,4.5408601761e+00,2.2954119873e+02,7.8529210091e+00,4.2622950673e-01,1.2605042756e-01
5.7703002930e+02,3.8785238266e+00,4.4564862251e+00,2.2955218506e+02,8.0761137009e+00,4.1803279519e-01,1.1764705926e-01
5.7705004883e+02,3.8125584126e+00,4.3682770729e+00,2.2956123352e+02,6.8281197548e+00,4.1803279519e-01,1.2605042756e-01
5.7707000732e+02,3.7450592518e+00,4.2808351517e+00,2.2957188416e+02,8.1696081161e+00,4.0163934231e-01,1.2605042756e-01
5.7709002686e+02,3.6744918823e+00,4.1972274780e+00,2.2958189392e+02,7.2314133644e+00,4.0163934231e-01,1.1764705926e-01
5.7711004639e+02,3.6050751209e+00,4.1143879890e+00,2.2959095764e+02,6.6243839264e+00,4.0163934231e-01,1.1764705926e-01
5.7713000488e+02,3.5379593372e+00,4.0292468071e+00,2.2960000610e+02,6.7406468391e+00,4.0163934231e-01,1.2605042756e-01
5.7715002441e+02,3.4716105461e+00,3.9406538010e+00,2.2961004639e+02,7.9147305489e+00,4.0983605385e-01,1.2605042756e-01
5.7717004395e+02,3.4033443928e+00,3.8555126190e+00,2.2961972046e+02,6.9423890114e+00,4.0983605385e-01,1.1764705926e-01
5.7719000244e+02,3.3320097923e+00,3.7734396458e+00,2.2962876892e+02,6.6608862877e+00,4.1803279519e-01,1.2605042756e-01
5.7721002197e+02,3.2614424229e+00,3.6902160645e+00,2.2963847351e+02,7.6452617645e+00,4.0983605385e-01,1.2605042756e-01
5.7723004150e+02,3.1920254230e+00,3.6020069122e+00,2.2964848328e+02,7.2726840973e+00,4.1803279519e-01,1.2605042756e-01
