# Time,Theta 1,Theta 2,Tape Position,Tape Speed,Tension Arm 1 Height,Tension Arm 2 Height
5.3880804443e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3882800293e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3884802246e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3886804199e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3888800049e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3890802002e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3892803955e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3894799805e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3896801758e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3898803711e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.1764705926e-01
5.3900799561e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3902801514e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3904803467e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3906805420e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3908599854e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.1764705926e-01
5.3910601807e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3912603760e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3914599609e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3916601562e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3918603516e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3920605469e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3922601318e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.1764705926e-01
5.3924603271e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3926605225e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3928601074e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3930603027e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3932604980e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3934600830e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3936602783e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3938604736e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3940600586e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3942602539e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3944604492e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3946600342e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3948602295e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3950604248e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3952600098e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3954602051e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3956604004e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3958599854e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3960601807e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3962603760e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3964599609e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3966601562e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3968603516e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3970605469e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3972601318e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3974603271e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3976605225e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3978601074e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3980603027e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3982604980e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3984600830e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3986602783e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.3988604736e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3990600586e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3992602539e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3994604492e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3996600342e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.3998602295e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4000604248e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4002600098e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.4004602051e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4006604004e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4008599854e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4010601807e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.1764705926e-01
5.4012603760e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4014599609e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4018603516e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4020605469e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4022601318e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.4024603271e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.4026605225e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4028601074e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4030603027e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.1764705926e-01
5.4032604980e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4034600830e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4036602783e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4038604736e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4040600586e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.4042602539e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4044604492e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.1764705926e-01
5.4046600342e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4048602295e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4050604248e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4052600098e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4054602051e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.4056604004e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.4058599854e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4060601807e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4062603760e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4064599609e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4066601562e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
5.4068603516e+02,4.1922416687e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,8.1967208534e-03,1.2605042756e-01
5.4070605469e+02,4.1926255226e+00,9.7528785467e-01,2.2393051147e+02,2.6926629543e+00,1.6393441707e-02,1.2605042756e-01
